Date,Open,High,Low,Close,Volume,Change
2018-01-02,8420,8480,8270,8460,1176650,0.013173652694610682
2018-01-03,8460,8710,8420,8500,1678788,0.004728132387706863
2018-01-04,8580,8590,8210,8220,1546841,-0.03294117647058825
2018-01-05,8230,8360,8230,8300,1035357,0.009732360097323589
2018-01-08,8310,8320,8050,8100,1446225,-0.02409638554216864
2018-01-09,8150,8300,8050,8110,1092275,0.0012345679012346622
2018-01-10,8130,8280,8110,8220,914730,0.013563501849568338
2018-01-11,8220,8300,8140,8180,964537,-0.0048661800486617945
2018-01-12,8180,8220,8070,8210,1315389,0.003667481662591676
2018-01-15,8260,8910,8260,8840,5787452,0.07673568818513998
2018-01-16,8940,9300,8900,9110,5453881,0.030542986425339258
2018-01-17,9150,9270,9010,9090,2325897,-0.002195389681668547
2018-01-18,9200,9420,9110,9200,2226545,0.012101210121012063
2018-01-19,9230,9550,9110,9210,3170349,0.0010869565217390686
2018-01-22,9290,9380,9110,9240,1593675,0.0032573289902280145
2018-01-23,9250,9330,9080,9240,1682890,0.0
2018-01-24,9300,9480,9120,9140,2263579,-0.010822510822510845
2018-01-25,9140,9340,9030,9300,1673371,0.017505470459518557
2018-01-26,9430,9470,9230,9280,1516233,-0.0021505376344086446
2018-01-29,9280,9280,9100,9110,1601310,-0.018318965517241326
2018-01-30,9060,9070,8860,8920,2006452,-0.020856201975850697
2018-01-31,8930,9180,8900,9080,1627529,0.017937219730941756
2018-02-01,9140,9300,9030,9290,1810130,0.02312775330396466
2018-02-02,9290,9300,9090,9240,1387023,-0.005382131324004336
2018-02-05,8950,9040,8810,8830,1836600,-0.044372294372294396
2018-02-06,8450,8690,8250,8660,2983013,-0.01925254813137034
2018-02-07,8810,8820,8350,8350,1450572,-0.035796766743648956
2018-02-08,8350,8820,8340,8650,2056398,0.03592814371257491
2018-02-09,8360,8490,8360,8420,1005442,-0.026589595375722586
2018-02-12,8540,8620,8440,8460,748631,0.004750593824228044
2018-02-13,8560,8570,8310,8310,827313,-0.01773049645390068
2018-02-14,8330,8400,8240,8400,858134,0.010830324909747224
2018-02-19,8450,8650,8440,8630,826823,0.027380952380952284
2018-02-20,8670,8670,8390,8430,730648,-0.023174971031286185
2018-02-21,8440,8600,8410,8550,601303,0.014234875444839812
2018-02-22,8530,8540,8410,8500,395862,-0.005847953216374324
2018-02-23,8540,8550,8470,8520,407810,0.0023529411764706687
2018-02-26,8180,8200,7690,7800,5146820,-0.08450704225352113
2018-02-27,7960,8050,7880,7900,1403969,0.012820512820512775
2018-02-28,7900,7980,7790,7810,798970,-0.011392405063291089
